Open,High,Low,Close,Volume
94838.43,94838.57,94868.98,94838.02,1.21683885
94838.57,94827.21,94838.57,94800.01,2.38410487
94827.2,94909.96,94909.97,94827.2,0.80529676
94909.96,94909.99,94910.0,94909.96,1.19252756
94910.0,94913.83,94937.49,94909.99,2.18715496
94913.83,94938.92,94938.94,94913.83,0.59029564
94938.92,94938.93,94938.94,94938.92,0.50721923
94938.93,94945.0,94955.85,94938.93,2.08494103
94945.0,94967.49,94969.68,94945.0,2.62006309
94967.49,94969.24,94989.16,94967.48,1.84364708
94969.23,94969.23,94988.73,94969.23,1.72852395
94969.23,94990.5,95052.99,94969.23,6.98161457
94990.51,94990.58,94997.23,94990.5,0.57634474
94990.58,94952.8,95035.11,94952.8,2.42769152
94952.8,94910.82,94952.8,94910.81,1.58050208
94910.82,94972.87,94994.91,94910.82,2.21407367
94972.87,95058.95,95060.0,94972.87,5.12715062
95058.94,95062.29,95085.67,95058.94,4.9029959
95062.3,95065.33,95084.23,95058.6,5.63076896
95065.34,95085.7,95098.42,95065.33,1.52104506
95085.7,95077.44,95085.71,95077.44,0.71050205
95077.45,95070.5,95077.46,95070.5,0.84573319
95070.5,95077.43,95098.34,95070.5,1.45996467
95077.44,95100.01,95105.55,95077.43,2.82973544
95100.01,95133.9,95139.99,95100.01,2.5680473
95133.91,95137.56,95140.0,95133.9,5.22366239
95137.56,95137.56,95137.57,95137.56,0.67829835
95137.56,95119.98,95137.56,95118.73,0.93444649
95119.98,95144.98,95145.0,95119.98,2.21902885
95144.99,95250.04,95261.08,95144.98,9.48398869
95250.04,95263.31,95277.96,95250.04,0.851807
95263.31,95313.86,95395.0,95086.41,10.40338551
95313.86,95401.22,95405.0,95313.86,5.65568735
95401.21,95379.88,95401.22,95379.87,2.36005093
95379.88,95420.47,95428.34,95379.88,2.13766872
95420.48,95713.85,95740.89,95420.48,16.62587406
95713.85,95523.92,95723.84,95451.59,2.8647356
95520.36,95634.71,95674.84,95520.35,5.4860143
95634.7,95638.86,95680.85,95634.7,1.48422013
95638.87,95654.03,95654.03,95605.45,3.00990723
95654.02,96137.0,96145.0,95654.02,19.0657913
96137.0,96162.09,96321.77,96131.82,14.90269962
96162.1,96287.01,96287.3,96162.1,6.38920316
96287.0,96127.85,96347.83,96108.7,12.11906214
96127.85,96123.19,96161.5,96056.7,4.95628754
96123.19,96078.59,96141.09,96022.07,5.01175117
96078.59,95897.01,96078.6,95897.01,2.77062986
95897.01,96100.03,96123.54,95897.01,4.00674641
96100.03,96104.07,96138.8,96100.02,2.31539998
96104.07,96140.72,96199.88,96104.07,4.24857041
96140.72,96091.52,96140.73,96080.32,2.62102107
96091.52,96132.29,96137.5,96090.83,0.82254142
96132.29,96052.88,96134.07,95927.95,1.82333486
96052.88,95931.27,96052.89,95931.26,1.19149893
95931.26,95863.04,95931.26,95827.55,3.60839819
95863.05,95915.41,95982.46,95863.05,5.82731527
95915.41,96000.0,96025.58,95915.41,2.54867483
96000.0,96078.64,96079.0,96000.0,1.35913918
96078.64,96100.98,96133.99,96022.22,2.58306076
96100.99,96154.68,96160.0,96100.98,1.26005876
96154.69,96160.18,96189.62,96142.85,1.2450075
96160.18,96137.1,96197.96,96134.28,1.08022691
96137.09,96212.85,96212.86,96137.09,1.22941254
96212.84,96242.62,96250.67,96212.84,2.43883566
96242.61,96150.26,96242.62,96150.25,2.21023131
96150.25,96300.01,96343.61,96150.25,2.70297365
96300.01,96198.89,96343.6,96198.89,0.72534917
96198.89,96228.73,96250.36,96137.1,2.65761479
96228.74,96244.59,96291.63,96228.74,1.37938725
96244.59,96400.01,96402.09,96244.59,3.48010394
96400.0,96386.22,96430.6,96256.36,2.25805295
96386.21,96340.79,96386.22,96339.04,0.90904489
96340.78,96323.5,96340.79,96269.55,0.18788959
96323.5,96342.68,96389.63,96302.61,3.91966174
96342.68,96373.53,96400.0,96340.73,3.23239172
96373.53,96434.05,96449.99,96373.53,1.99034904
96434.05,96450.06,96466.29,96434.04,2.11148321
96450.07,96550.38,96660.3,96450.07,10.82112548
96550.38,96607.87,96615.24,96536.55,2.07128795
96607.87,96321.49,96615.23,96308.96,3.88618462
96321.49,96193.97,96477.6,96193.96,2.98739816
96193.98,96125.68,96240.32,95909.5,8.5604754
96125.69,96113.58,96250.01,95964.0,4.79124269
96113.58,95947.69,96200.66,95915.6,3.87646432
95947.69,95820.76,95961.19,95820.76,4.65867571
95859.74,96031.6,96104.43,95859.74,8.46363161
96031.6,96160.32,96224.82,96031.6,2.79985377
96160.3,96195.22,96226.3,96034.2,1.16545044
96195.22,96322.3,96411.02,96195.21,6.75963808
96322.29,96328.08,96395.69,96286.08,1.91435909
96328.08,96399.82,96402.47,96304.58,3.29853094
96399.83,96319.74,96481.0,96205.58,3.03770931
96319.75,96575.0,96660.3,96319.74,5.26300036
96575.01,96400.04,96622.8,96400.02,2.84585941
96400.04,96493.54,96509.64,96339.97,3.58428981
96493.54,96595.04,96621.0,96493.53,1.72931446
96595.05,96817.97,96888.0,96595.04,5.20637164
96817.97,96888.99,96888.99,96770.29,2.86893332
96888.98,96969.23,96969.23,96829.22,6.01172196
96969.22,97381.56,97381.57,96969.22,22.69503967
97381.57,97115.25,97390.0,97112.24,3.01272293
97115.25,97005.62,97200.0,97005.61,4.81702665
97005.63,97107.79,97185.91,97005.61,2.45508468
97107.79,96959.62,97113.65,96959.62,1.98881234
96959.63,97120.96,97150.0,96959.63,3.65339257
