2025-04-26 20:28:15,902 - INFO - Exited LONG at 94846.06 → Return: 0.10%, Reason: signal_flip, Capital: 10.00
2025-04-26 20:28:15,902 - INFO - Entered LONG at 94651.17, Size: 0.0000, Capital: 9.90
2025-04-26 20:28:15,902 - INFO - Exited LONG at 94465.25 → Return: -0.20%, Reason: signal_flip, Capital: 10.00
2025-04-26 20:28:15,902 - INFO - Entered LONG at 94573.77, Size: 0.0000, Capital: 9.90
2025-04-26 20:28:15,902 - INFO - Exited LONG at 94622.14 → Return: 0.05%, Reason: signal_flip, Capital: 10.00
2025-04-26 20:28:15,903 - INFO - Entered LONG at 94327.97, Size: 0.0000, Capital: 9.90
2025-04-26 20:28:15,903 - INFO - Exited LONG at 94084.41 → Return: -0.26%, Reason: signal_flip, Capital: 10.00
2025-04-26 20:28:15,903 - INFO - Entered LONG at 94217.87, Size: 0.0000, Capital: 9.90
2025-04-26 20:28:15,905 - INFO - Backtest complete: 31 trades, Avg Return: 0.01%
2025-04-26 20:28:15,905 - INFO - Entered LONG at 93502.78, Size: 0.0000, Capital: 9.90
2025-04-26 20:28:15,905 - INFO - Exited LONG at 93212.27 → Return: -0.31%, Reason: signal_flip, Capital: 10.00
2025-04-26 20:28:15,906 - INFO - Entered LONG at 92951.00, Size: 0.0000, Capital: 9.90
2025-04-26 20:28:15,906 - INFO - Exited LONG at 92642.16 → Return: -0.33%, Reason: signal_flip, Capital: 10.00
2025-04-26 20:28:15,906 - INFO - Entered LONG at 92864.34, Size: 0.0000, Capital: 9.90
2025-04-26 20:28:15,906 - INFO - Exited LONG at 93062.81 → Return: 0.21%, Reason: signal_flip, Capital: 10.00
2025-04-26 20:28:15,907 - INFO - Entered LONG at 93381.25, Size: 0.0000, Capital: 9.90
2025-04-26 20:28:15,907 - INFO - Exited LONG at 93362.88 → Return: -0.02%, Reason: signal_flip, Capital: 10.00
2025-04-26 20:28:15,907 - INFO - Entered LONG at 92679.78, Size: 0.0000, Capital: 9.90
2025-04-26 20:28:15,907 - INFO - Exited LONG at 93731.80 → Return: 1.14%, Reason: take_profit, Capital: 10.00
2025-04-26 20:28:15,908 - INFO - Entered LONG at 93873.28, Size: 0.0000, Capital: 9.90
2025-04-26 20:28:15,908 - INFO - Exited LONG at 93755.59 → Return: -0.13%, Reason: signal_flip, Capital: 10.00
2025-04-26 20:28:15,908 - INFO - Entered LONG at 93524.54, Size: 0.0000, Capital: 9.90
2025-04-26 20:28:15,908 - INFO - Exited LONG at 93654.26 → Return: 0.14%, Reason: signal_flip, Capital: 10.00
2025-04-26 20:28:15,908 - INFO - Entered LONG at 93590.77, Size: 0.0000, Capital: 9.90
2025-04-26 20:28:15,908 - INFO - Exited LONG at 93503.89 → Return: -0.09%, Reason: signal_flip, Capital: 10.00
2025-04-26 20:28:15,909 - INFO - Entered LONG at 93402.84, Size: 0.0000, Capital: 9.90
2025-04-26 20:28:15,909 - INFO - Exited LONG at 93135.96 → Return: -0.29%, Reason: signal_flip, Capital: 10.00
2025-04-26 20:28:15,909 - INFO - Entered LONG at 93391.34, Size: 0.0000, Capital: 9.90
2025-04-26 20:28:15,909 - INFO - Exited LONG at 93120.26 → Return: -0.29%, Reason: signal_flip, Capital: 10.00
2025-04-26 20:28:15,909 - INFO - Entered LONG at 92829.55, Size: 0.0000, Capital: 9.90
2025-04-26 20:28:15,909 - INFO - Exited LONG at 92585.86 → Return: -0.26%, Reason: signal_flip, Capital: 10.00
2025-04-26 20:28:15,910 - INFO - Entered LONG at 91862.61, Size: 0.0000, Capital: 9.90
2025-04-26 20:28:15,910 - INFO - Exited LONG at 92401.68 → Return: 0.59%, Reason: signal_flip, Capital: 10.00
2025-04-26 20:28:15,911 - INFO - Entered LONG at 93429.32, Size: 0.0000, Capital: 9.90
2025-04-26 20:28:15,911 - INFO - Exited LONG at 93458.53 → Return: 0.03%, Reason: signal_flip, Capital: 10.00
2025-04-26 20:28:15,911 - INFO - Entered LONG at 93120.32, Size: 0.0000, Capital: 9.90
2025-04-26 20:28:15,911 - INFO - Exited LONG at 93384.52 → Return: 0.28%, Reason: signal_flip, Capital: 10.00
2025-04-26 20:28:15,911 - INFO - Entered LONG at 93476.47, Size: 0.0000, Capital: 9.90
2025-04-26 20:28:15,911 - INFO - Exited LONG at 93274.93 → Return: -0.22%, Reason: signal_flip, Capital: 10.00
2025-04-26 20:28:15,912 - INFO - Entered LONG at 93662.51, Size: 0.0000, Capital: 9.90
2025-04-26 20:28:15,912 - INFO - Exited LONG at 93779.48 → Return: 0.12%, Reason: signal_flip, Capital: 10.00
2025-04-26 20:28:15,912 - INFO - Entered LONG at 92994.96, Size: 0.0000, Capital: 9.90
2025-04-26 20:28:15,912 - INFO - Exited LONG at 93080.49 → Return: 0.09%, Reason: signal_flip, Capital: 10.00
2025-04-26 20:28:15,912 - INFO - Entered LONG at 93240.13, Size: 0.0000, Capital: 9.90
2025-04-26 20:28:15,912 - INFO - Exited LONG at 93082.13 → Return: -0.17%, Reason: signal_flip, Capital: 10.00
2025-04-26 20:28:15,913 - INFO - Entered LONG at 93223.67, Size: 0.0000, Capital: 9.90
2025-04-26 20:28:15,913 - INFO - Exited LONG at 93562.57 → Return: 0.36%, Reason: signal_flip, Capital: 10.00
2025-04-26 20:28:15,913 - INFO - Entered LONG at 93994.78, Size: 0.0000, Capital: 9.90
2025-04-26 20:28:15,913 - INFO - Exited LONG at 94263.97 → Return: 0.29%, Reason: signal_flip, Capital: 10.00
2025-04-26 20:28:15,914 - INFO - Entered LONG at 94967.05, Size: 0.0000, Capital: 9.90
2025-04-26 20:28:15,914 - INFO - Exited LONG at 94862.05 → Return: -0.11%, Reason: signal_flip, Capital: 10.00
2025-04-26 20:28:15,915 - INFO - Entered LONG at 94715.82, Size: 0.0000, Capital: 9.90
2025-04-26 20:28:15,915 - INFO - Exited LONG at 94614.15 → Return: -0.11%, Reason: signal_flip, Capital: 10.00
2025-04-26 20:28:15,915 - INFO - Entered LONG at 94621.20, Size: 0.0000, Capital: 9.90
2025-04-26 20:28:15,915 - INFO - Exited LONG at 94599.41 → Return: -0.02%, Reason: signal_flip, Capital: 10.00
2025-04-26 20:28:15,915 - INFO - Entered LONG at 94751.71, Size: 0.0000, Capital: 9.90
2025-04-26 20:28:15,915 - INFO - Exited LONG at 94846.06 → Return: 0.10%, Reason: signal_flip, Capital: 10.00
2025-04-26 20:28:15,916 - INFO - Entered LONG at 94651.17, Size: 0.0000, Capital: 9.90
